100 3960
0 1 6
0 3 59
0 4 69
0 5 2
0 6 84
0 7 30
0 8 20
0 9 40
0 10 96
0 12 92
0 13 93
0 15 41
0 16 75
0 17 77
0 18 8
0 19 86
0 20 44
0 21 10
0 22 34
0 23 86
0 24 64
0 25 82
0 27 22
0 28 3
0 29 99
0 30 19
0 32 43
0 33 43
0 34 11
0 35 74
0 36 54
0 37 89
0 38 41
0 39 95
0 40 75
0 41 89
0 42 3
0 46 59
0 47 47
0 48 4
0 49 9
0 50 84
0 51 36
0 52 18
0 54 42
0 55 5
0 56 12
0 57 85
0 58 79
0 59 39
0 61 17
0 63 36
0 64 93
0 66 63
0 68 28
0 69 7
0 70 17
0 71 81
0 73 100
0 74 8
0 75 82
0 76 64
0 77 59
0 78 76
0 79 77
0 80 65
0 81 75
0 82 94
0 83 63
0 84 6
0 85 86
0 86 41
0 87 79
0 88 10
0 89 16
0 91 29
0 92 7
0 93 41
0 94 67
0 95 80
0 96 65
0 97 29
0 98 96
0 99 92
1 2 93
1 3 74
1 4 5
1 6 83
1 7 73
1 11 50
1 12 32
1 13 92
1 14 17
1 15 51
1 20 29
1 22 55
1 23 30
1 24 68
1 25 36
1 26 20
1 27 51
1 29 47
1 30 70
1 31 51
1 32 51
1 33 38
1 34 6
1 35 17
1 37 49
1 38 42
1 39 85
1 40 42
1 41 85
1 42 88
1 43 63
1 44 97
1 45 35
1 46 83
1 47 7
1 48 65
1 49 42
1 50 64
1 53 37
1 55 75
1 58 26
1 59 43
1 60 69
1 61 70
1 62 89
1 63 78
1 64 95
1 65 15
1 66 35
1 67 98
1 68 64
1 69 13
1 70 87
1 71 49
1 72 37
1 73 43
1 74 88
1 75 26
1 76 66
1 78 71
1 79 22
1 80 67
1 81 26
1 82 23
1 83 12
1 86 53
1 87 96
1 88 69
1 89 4
1 91 87
1 92 95
1 93 81
1 95 31
1 96 43
1 98 48
1 99 38
2 3 28
2 4 76
2 5 15
2 7 90
2 8 26
2 9 84
2 11 7
2 12 49
2 13 95
2 15 98
2 16 37
2 17 91
2 18 75
2 19 30
2 20 36
2 21 72
2 22 14
2 23 61
2 25 6
2 26 47
2 27 81
2 28 25
2 29 43
2 30 63
2 32 31
2 33 46
2 34 97
2 35 95
2 36 55
2 40 84
2 41 27
2 42 39
2 43 27
2 44 12
2 45 61
2 46 96
2 50 56
2 53 69
2 55 60
2 57 35
2 59 62
2 62 84
2 63 34
2 64 49
2 65 14
2 66 50
2 67 32
2 71 6
2 72 59
2 73 94
2 74 13
2 75 53
2 76 75
2 77 89
2 78 100
2 79 68
2 80 9
2 81 6
2 82 45
2 83 57
2 84 66
2 85 98
2 87 26
2 88 55
2 89 58
2 91 63
2 92 10
2 93 21
2 94 100
2 95 63
2 96 38
2 97 67
2 98 21
2 99 13
3 4 56
3 5 90
3 6 84
3 7 70
3 8 83
3 9 9
3 10 82
3 11 66
3 12 69
3 15 4
3 16 22
3 18 51
3 19 98
3 20 96
3 22 28
3 23 20
3 24 65
3 26 10
3 28 85
3 29 64
3 30 40
3 31 27
3 32 7
3 33 46
3 34 85
3 35 42
3 36 86
3 37 73
3 39 55
3 40 85
3 41 19
3 42 59
3 43 99
3 44 86
3 45 54
3 46 21
3 47 26
3 48 24
3 49 45
3 50 6
3 51 29
3 52 98
3 53 34
3 54 77
3 55 50
3 56 57
3 57 23
3 58 66
3 59 63
3 61 84
3 62 77
3 63 18
3 64 10
3 65 20
3 66 43
3 67 3
3 70 62
3 72 60
3 73 70
3 74 26
3 75 9
3 76 70
3 77 86
3 79 93
3 80 66
3 81 39
3 82 47
3 83 49
3 84 10
3 85 88
3 86 62
3 88 11
3 89 95
3 90 25
3 91 61
3 92 25
3 93 46
3 94 43
3 95 53
3 96 100
3 97 38
3 98 92
4 5 51
4 6 22
4 8 68
4 9 20
4 10 81
4 11 98
4 13 57
4 14 46
4 15 36
4 16 60
4 17 75
4 19 38
4 20 64
4 21 67
4 22 11
4 23 8
4 24 34
4 25 96
4 28 65
4 29 10
4 30 91
4 32 75
4 33 30
4 34 49
4 36 54
4 37 36
4 38 48
4 39 83
4 41 91
4 42 67
4 43 91
4 45 32
4 47 43
4 49 40
4 50 93
4 51 2
4 53 80
4 55 59
4 56 3
4 57 88
4 58 19
4 59 30
4 60 10
4 61 74
4 62 4
4 63 99
4 64 23
4 65 20
4 66 15
4 67 6
4 68 15
4 69 57
4 71 59
4 72 8
4 73 49
4 74 53
4 75 29
4 76 28
4 77 8
4 78 60
4 79 23
4 81 58
4 82 94
4 83 17
4 84 19
4 85 89
4 87 36
4 88 9
4 89 47
4 90 72
4 91 49
4 92 63
4 94 23
4 95 68
4 96 76
4 97 46
4 98 20
4 99 91
5 6 100
5 8 31
5 9 69
5 10 20
5 11 36
5 12 13
5 13 53
5 14 42
5 15 5
5 16 27
5 18 55
5 19 86
5 20 28
5 21 41
5 22 6
5 23 10
5 26 56
5 27 82
5 28 54
5 29 84
5 31 98
5 33 29
5 35 59
5 36 96
5 37 12
5 39 60
5 40 16
5 41 57
5 42 43
5 43 45
5 44 75
5 45 85
5 46 27
5 47 44
5 48 20
5 49 33
5 51 41
5 52 21
5 53 88
5 54 4
5 56 71
5 58 55
5 59 48
5 60 48
5 61 20
5 62 29
5 63 33
5 64 58
5 65 84
5 66 28
5 67 24
5 68 63
5 69 62
5 70 85
5 71 53
5 72 64
5 73 52
5 74 13
5 75 95
5 76 82
5 77 65
5 78 72
5 79 97
5 84 39
5 85 20
5 87 89
5 88 68
5 89 81
5 93 40
5 94 57
5 96 97
5 97 12
5 98 77
5 99 25
6 8 82
6 10 31
6 11 98
6 13 45
6 15 82
6 16 95
6 17 8
6 18 35
6 19 9
6 20 12
6 21 8
6 23 42
6 24 5
6 25 14
6 26 80
6 27 86
6 28 16
6 29 80
6 30 43
6 31 24
6 33 84
6 34 41
6 35 2
6 36 51
6 37 33
6 38 75
6 39 83
6 41 93
6 42 47
6 43 77
6 44 48
6 45 26
6 46 86
6 47 2
6 48 43
6 49 93
6 50 28
6 51 27
6 52 53
6 54 36
6 55 39
6 56 14
6 57 47
6 61 72
6 62 56
6 64 83
6 65 27
6 66 20
6 68 86
6 69 99
6 70 62
6 71 91
6 72 88
6 73 54
6 74 82
6 75 80
6 76 92
6 78 70
6 79 56
6 80 96
6 81 28
6 84 3
6 85 22
6 86 16
6 87 6
6 89 7
6 91 97
6 92 28
6 93 95
6 94 66
6 95 94
6 97 93
6 99 55
7 8 67
7 9 36
7 10 12
7 11 3
7 13 55
7 14 58
7 15 83
7 16 93
7 17 87
7 19 56
7 20 30
7 21 66
7 22 27
7 23 73
7 24 31
7 26 43
7 27 56
7 28 32
7 29 41
7 30 53
7 31 92
7 33 33
7 34 97
7 36 90
7 37 60
7 38 72
7 39 85
7 40 98
7 41 10
7 42 79
7 43 20
7 44 45
7 45 55
7 46 28
7 47 15
7 48 84
7 49 46
7 50 76
7 51 48
7 52 9
7 53 98
7 54 52
7 55 22
7 56 71
7 57 57
7 58 91
7 60 8
7 61 25
7 62 16
7 63 40
7 64 76
7 66 42
7 67 60
