50 500
1 2 75
1 3 73
2 4 43
1 5 25
4 6 96
3 7 50
5 8 95
1 9 12
6 10 72
8 11 61
6 12 40
4 13 52
9 14 17
12 15 39
7 16 9
8 17 62
5 18 84
3 19 24
7 20 18
14 21 17
5 22 69
14 23 28
18 24 11
24 25 91
11 26 74
20 27 90
27 28 15
25 29 92
6 30 16
23 31 92
18 32 82
24 33 98
27 34 46
1 35 72
16 36 72
9 37 47
24 38 8
34 39 38
13 40 79
11 41 3
16 42 30
10 43 71
2 44 80
32 45 99
31 46 26
27 47 24
20 48 50
32 49 27
48 50 26
34 25 29
3 25 16
21 27 78
31 33 22
40 21 60
1 10 23
27 43 29
8 10 92
38 48 66
17 44 92
1 36 76
12 29 64
17 46 23
19 33 80
19 4 40
23 38 20
45 20 84
47 38 64
43 38 87
32 39 96
2 10 32
9 2 21
47 37 78
34 40 74
21 48 3
12 37 96
20 15 15
44 37 80
23 1 24
5 8 67
41 39 15
36 32 41
18 27 59
6 37 19
7 18 78
24 12 22
1 20 13
33 12 2
42 35 39
42 19 38
3 38 13
25 48 3
13 25 62
35 20 68
7 28 7
40 8 52
34 23 75
42 23 100
10 42 31
17 14 55
7 39 45
34 11 68
35 14 57
37 47 1
10 1 59
48 44 14
50 35 7
35 3 23
33 42 54
49 19 94
6 45 95
32 10 70
30 47 80
50 2 39
3 26 74
3 47 73
13 12 68
47 8 11
49 44 72
3 46 20
11 8 82
10 49 19
10 1 16
6 25 95
28 4 32
50 47 66
31 18 23
36 40 60
12 5 96
46 42 5
2 6 76
23 27 70
2 24 60
22 8 92
45 26 99
23 35 70
15 2 37
25 38 23
33 43 87
2 50 27
30 6 45
34 29 59
45 1 25
46 3 36
43 5 62
38 18 87
24 21 4
46 9 74
41 34 30
16 18 83
38 47 29
32 3 62
17 10 92
38 20 22
4 31 38
39 42 96
12 48 91
20 27 94
10 7 90
1 27 22
21 4 93
17 26 77
38 43 60
1 49 88
30 13 60
47 32 83
33 2 7
32 40 96
31 1 89
6 21 42
46 7 73
45 11 9
34 8 19
36 24 48
6 36 75
15 11 68
16 43 91
12 9 53
48 11 21
6 17 67
14 5 40
6 24 53
50 33 26
46 3 52
18 33 88
48 19 55
40 22 43
13 11 81
34 15 100
6 19 70
21 16 53
20 37 26
19 34 29
34 32 43
50 28 8
12 27 42
26 39 20
2 3 88
47 19 66
39 17 98
27 41 88
10 14 23
22 39 87
42 37 95
22 41 82
13 22 6
8 27 10
33 14 59
31 49 44
39 7 2
50 34 49
1 8 94
45 38 53
28 22 86
6 16 45
50 8 49
18 44 80
8 13 14
26 37 29
18 22 6
37 48 23
37 5 87
14 30 55
39 11 2
35 12 75
20 14 65
31 10 42
21 44 100
32 40 65
31 15 15
4 38 22
11 29 95
9 5 63
6 39 54
39 17 50
17 38 30
45 5 91
45 35 84
29 45 57
8 19 57
5 15 91
44 24 7
23 20 31
31 18 23
5 33 66
39 43 21
2 42 33
6 36 15
37 38 67
37 31 86
47 32 99
30 22 92
24 41 100
39 18 61
2 24 12
25 29 49
2 28 41
50 24 90
25 10 39
40 1 72
11 42 81
13 27 92
46 35 64
38 27 5
16 24 8
16 42 85
18 17 47
8 11 28
1 4 81
12 45 30
14 5 65
44 40 3
2 1 32
40 8 47
32 9 93
7 16 23
39 6 65
26 38 44
38 5 100
42 41 94
34 9 85
49 15 3
24 7 80
32 37 76
1 43 31
21 20 8
36 21 95
29 34 84
49 14 94
47 4 20
29 39 71
34 21 65
38 11 45
49 1 26
35 32 81
39 7 100
49 12 32
30 18 30
2 41 47
43 34 28
47 5 81
31 26 79
32 25 15
47 8 42
9 8 53
46 37 64
8 38 90
27 26 70
33 36 34
36 27 76
4 35 40
11 6 34
36 30 44
48 31 44
8 32 31
31 10 74
40 47 11
40 50 46
26 5 35
50 30 40
37 14 50
28 8 44
49 21 7
14 9 75
6 31 75
7 50 4
45 5 47
27 44 68
20 50 48
26 27 69
9 34 67
23 34 67
18 17 89
47 3 15
20 5 90
44 15 36
16 39 37
2 34 11
44 18 41
3 47 55
39 34 38
20 45 54
16 25 92
27 6 10
42 50 59
48 20 91
50 28 90
45 34 29
33 26 63
33 40 28
20 48 1
3 42 35
18 37 75
46 41 26
23 17 73
21 8 5
26 31 83
39 22 92
41 34 50
6 16 54
37 36 16
33 38 63
28 43 53
21 40 19
46 50 2
3 43 72
48 24 21
37 35 97
1 17 83
36 15 32
30 20 44
11 48 90
48 34 55
47 4 14
32 22 69
22 33 8
50 21 5
22 10 41
1 27 27
31 41 80
30 3 61
35 21 76
4 47 42
27 21 27
49 41 94
20 38 17
9 6 52
43 17 63
43 13 82
50 32 62
5 8 99
40 44 41
14 7 3
4 12 54
13 26 6
2 9 32
29 32 69
13 30 66
29 4 54
39 3 28
30 42 70
5 21 97
1 40 98
48 32 28
34 46 45
47 22 29
22 24 85
33 5 38
8 35 94
31 29 79
49 39 86
39 6 53
30 2 14
18 31 46
40 6 100
7 4 56
9 7 46
27 44 55
33 3 27
34 20 77
30 12 25
21 26 24
9 16 7
18 2 7
23 48 65
14 21 16
27 29 78
38 43 49
38 32 60
46 47 56
15 7 17
46 4 79
38 12 28
17 23 62
33 48 79
17 11 68
49 50 69
26 15 28
11 37 6
16 20 71
33 45 51
40 14 51
16 24 93
10 40 56
5 30 44
44 7 84
46 48 35
13 11 76
34 5 74
44 24 88
40 48 100
16 25 39
17 49 1
19 17 40
4 21 48
45 31 34
41 33 92
25 22 68
23 15 12
22 44 36
33 4 91
10 6 2
7 2 32
15 4 50
5 49 53
9 33 30
49 41 21
11 37 38
18 25 39
27 18 10
37 14 52
41 44 78
47 34 12
10 37 10
38 5 25
49 33 98
45 16 98
9 33 84
15 12 95
34 14 42
50 15 25
9 6 44
2 40 89
41 49 96
19 44 27
10 47 51
18 22 79
16 32 79
8 49 28
1 26 41
6 4 57
29 40 49
16 29 14
50 29 71
11 26 67
29 40 73
32 10 16
27 43 6
33 6 35
47 26 32
39 37 84
